project_id,project_name,reporting_month,month_number,ministry,sector,state,implementing_agency_type,original_cost_crore,latest_revised_cost_crore,cumulative_expenditure_crore,planned_duration_months,elapsed_duration_months,schedule_consumption_pct,expected_physical_progress_pct,physical_progress_pct,financial_progress_pct,progress_gap_pct,financial_physical_gap_pct,milestones_total,milestones_expected_to_date,milestones_delayed,milestone_delay_rate_pct,land_acquisition_delay,clearance_delay,contractor_delay,funding_issue,expenditure_ratio_pct,observable_risk_score,final_cost_overrun_pct,final_time_overrun_pct,final_cost_overrun_flag,final_time_overrun_flag,final_major_risk_flag,final_revised_cost_crore,final_actual_duration_months,dataset_split
PAI-00007,Demo Infrastructure Project 0007,2025-02,2,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,621.7,147.92,72,12,16.67,17.93,20.81,32.67,-2.89,11.85,23,3,1.0,33.33,1.0,0.0,0.0,0.0,23.79,25.39,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-03,3,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,627.28,145.08,72,18,25.0,25.37,21.62,27.66,3.74,6.03,23,5,1.0,20.0,0.0,0.0,,0.0,23.13,24.97,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-04,4,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,633.26,197.66,72,24,33.33,34.54,35.31,48.33,-0.78,13.01,23,7,2.0,28.57,0.0,0.0,0.0,0.0,31.21,20.22,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-05,5,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,639.54,231.62,72,30,41.67,41.11,40.7,45.59,0.41,4.89,23,9,3.0,33.33,0.0,1.0,0.0,0.0,36.22,20.06,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-06,6,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,646.08,287.85,72,36,50.0,53.28,50.94,58.55,2.35,7.61,23,11,3.0,27.27,0.0,0.0,0.0,1.0,44.55,15.21,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-07,7,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,652.85,327.69,72,42,58.33,58.5,56.07,64.74,2.43,8.67,23,13,6.0,46.15,0.0,1.0,0.0,0.0,50.19,32.56,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-08,8,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,659.81,373.54,72,48,66.67,65.21,57.41,69.57,7.79,12.16,23,15,7.0,46.67,1.0,0.0,0.0,1.0,56.61,38.56,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-09,9,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,666.95,443.78,72,54,75.0,74.13,66.75,78.06,7.38,11.31,23,17,5.0,29.41,0.0,0.0,0.0,0.0,66.54,31.59,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-10,10,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,674.25,496.54,72,60,83.33,85.11,76.17,84.83,8.94,8.66,23,19,4.0,21.05,0.0,0.0,0.0,0.0,73.64,28.18,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-11,11,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,681.69,537.26,72,66,91.67,89.83,81.05,88.78,8.78,7.73,23,21,6.0,28.57,0.0,1.0,0.0,0.0,78.81,37.42,12.48,34.51,1,1,1,689.28,97,train
PAI-00007,Demo Infrastructure Project 0007,2025-12,12,Ministry of Coal,Coal,Jharkhand,Railway Agency,612.79,689.28,562.72,72,72,100.0,100.0,91.68,95.47,8.32,3.79,23,23,8.0,34.78,1.0,0.0,0.0,0.0,81.64,33.63,12.48,34.51,1,1,1,689.28,97,train
PAI-00008,Demo Infrastructure Project 0008,2025-01,1,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,864.54,61.96,37,3,8.11,6.04,7.6,19.8,-1.56,12.2,25,2,0.0,0.0,0.0,0.0,0.0,0.0,7.17,12.75,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-02,2,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,865.36,112.18,37,6,16.22,16.44,13.75,18.75,2.69,5.0,25,4,1.0,25.0,0.0,0.0,0.0,0.0,12.96,18.09,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-03,3,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,866.28,235.75,37,9,24.32,22.93,20.26,24.12,2.67,3.86,25,6,2.0,33.33,0.0,0.0,0.0,0.0,27.21,22.19,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-04,4,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,867.27,267.38,37,12,32.43,33.37,26.95,,6.42,17.19,25,8,1.0,12.5,0.0,0.0,0.0,0.0,30.83,26.87,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-05,5,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,868.3,344.62,37,15,40.54,43.03,41.91,44.11,1.12,2.2,25,10,3.0,30.0,0.0,0.0,0.0,1.0,39.69,13.54,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-06,6,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,869.38,402.33,37,18,48.65,50.39,45.81,55.94,4.58,10.13,25,12,3.0,25.0,0.0,0.0,0.0,0.0,46.28,20.46,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-07,7,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,870.49,491.89,37,22,59.46,59.2,52.78,61.15,6.42,8.37,25,14,4.0,28.57,0.0,0.0,0.0,0.0,56.51,28.34,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-08,8,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,871.64,553.62,37,25,67.57,68.78,56.84,64.83,11.94,7.99,25,16,6.0,37.5,0.0,0.0,0.0,0.0,63.51,28.28,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-09,9,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,872.81,626.38,37,28,75.68,73.36,66.08,67.87,7.28,1.79,25,18,2.0,11.11,1.0,0.0,1.0,0.0,71.77,28.97,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-10,10,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,874.02,692.14,37,31,83.78,82.46,75.67,93.22,6.78,17.54,25,20,8.0,40.0,0.0,,1.0,0.0,79.19,49.49,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-11,11,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,875.24,724.54,37,34,91.89,88.07,79.78,87.19,8.29,7.41,25,22,5.0,22.73,1.0,0.0,0.0,0.0,82.78,31.74,1.46,10.53,0,1,1,876.49,41,train
PAI-00008,Demo Infrastructure Project 0008,2025-12,12,Ministry of Railways,Coal,Karnataka,Central Government Department,863.9,876.49,775.85,37,37,100.0,99.24,88.91,,10.34,4.64,25,25,10.0,40.0,0.0,1.0,0.0,0.0,88.52,37.57,1.46,10.53,0,1,1,876.49,41,train
PAI-00010,Demo Infrastructure Project 0010,2025-01,1,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,366.12,39.63,61,5,8.2,6.87,4.24,2.96,2.63,-1.28,29,2,0.0,0.0,0.0,0.0,,0.0,10.83,2.56,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-02,2,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,367.59,72.88,61,10,16.39,19.07,20.58,25.5,-1.51,4.92,29,4,1.0,25.0,1.0,0.0,1.0,0.0,19.83,21.94,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-03,3,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,369.21,92.91,61,15,24.59,26.43,26.17,32.2,0.26,6.03,29,7,2.0,28.57,0.0,0.0,0.0,0.0,25.16,16.25,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-04,4,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,370.95,111.02,61,20,32.79,33.24,36.1,42.34,-2.86,6.23,29,9,1.0,11.11,0.0,0.0,0.0,0.0,29.93,12.55,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-05,5,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,372.78,135.0,61,25,40.98,41.64,39.29,,2.34,4.13,29,12,2.0,16.67,0.0,0.0,0.0,0.0,36.21,19.88,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-06,6,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,374.69,168.88,61,30,49.18,53.37,50.83,62.36,2.54,11.53,29,14,2.0,14.29,0.0,0.0,1.0,0.0,45.07,27.74,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-07,7,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,376.66,184.53,61,36,59.02,59.85,60.79,63.95,-0.94,3.16,29,16,3.0,18.75,0.0,0.0,0.0,0.0,48.99,14.67,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-08,8,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,378.68,228.75,61,41,67.21,65.16,61.58,68.11,3.58,6.53,29,19,5.0,26.32,0.0,0.0,0.0,0.0,60.41,16.84,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-09,9,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,380.76,250.71,61,46,75.41,76.87,73.56,76.91,3.31,3.34,29,21,1.0,4.76,0.0,0.0,0.0,0.0,65.84,11.14,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-10,10,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,382.89,265.16,61,51,83.61,82.21,73.78,75.03,8.43,1.25,29,24,6.0,25.0,0.0,0.0,0.0,0.0,69.25,27.21,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-11,11,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,385.06,314.25,61,56,91.8,91.97,88.66,88.52,3.31,-0.15,29,26,5.0,19.23,0.0,1.0,0.0,0.0,81.61,24.94,6.1,30.86,0,1,1,387.27,80,train
PAI-00010,Demo Infrastructure Project 0010,2025-12,12,Ministry of Road Transport & Highways,Water & Sanitation,Madhya Pradesh,PSU,364.99,387.27,316.29,61,61,100.0,95.8,88.23,89.17,7.57,0.95,29,29,6.0,20.69,0.0,0.0,0.0,0.0,81.67,24.1,6.1,30.86,0,1,1,387.27,80,train
PAI-00013,Demo Infrastructure Project 0013,2025-01,1,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,84.0,24,2,8.33,10.87,9.43,13.21,1.43,3.77,16,1,0.0,0.0,0.0,0.0,0.0,0.0,8.37,3.94,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-02,2,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,164.44,24,4,16.67,14.55,12.49,12.56,2.06,0.07,16,2,0.0,0.0,0.0,0.0,0.0,0.0,16.38,2.64,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-03,3,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,287.61,24,6,25.0,24.04,23.2,25.71,0.84,2.5,16,4,1.0,25.0,1.0,0.0,0.0,0.0,28.65,13.82,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-04,4,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,272.63,24,8,33.33,31.85,33.79,45.0,-1.94,11.21,16,5,1.0,20.0,0.0,0.0,0.0,0.0,27.16,12.53,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-05,5,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,375.33,24,10,41.67,40.05,34.73,30.42,5.32,-4.31,16,6,0.0,0.0,0.0,0.0,0.0,1.0,37.39,13.37,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-06,6,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,429.26,24,12,50.0,49.41,46.5,46.84,2.91,0.35,16,8,0.0,0.0,0.0,0.0,0.0,0.0,42.76,10.43,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-07,7,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,495.59,24,14,58.33,58.37,59.83,62.05,-1.46,2.22,16,9,1.0,11.11,0.0,0.0,0.0,0.0,49.37,14.5,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-08,8,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,574.09,24,16,66.67,66.09,67.25,62.16,-1.16,-5.09,16,10,0.0,0.0,1.0,0.0,0.0,0.0,57.19,10.18,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-09,9,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,654.6,24,18,75.0,72.21,64.49,68.53,7.73,4.04,16,12,0.0,0.0,0.0,0.0,0.0,0.0,65.21,20.47,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-10,10,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,715.14,24,20,83.33,85.27,83.72,89.27,1.55,5.55,16,13,3.0,23.08,1.0,1.0,0.0,0.0,71.24,25.86,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-11,11,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,792.42,24,22,91.67,92.02,91.73,88.15,0.29,-3.58,16,14,2.0,14.29,0.0,0.0,0.0,0.0,78.94,11.68,-3.9,3.15,0,0,0,1003.84,25,train
PAI-00013,Demo Infrastructure Project 0013,2025-12,12,Ministry of Coal,Social Infrastructure,Jharkhand,PSU,1003.84,1003.84,854.11,24,24,100.0,100.0,98.96,100.0,1.04,1.04,16,16,2.0,12.5,0.0,0.0,1.0,0.0,85.08,29.53,-3.9,3.15,0,0,0,1003.84,25,train
