project_id,project_name,reporting_month,month_number,ministry,sector,state,implementing_agency_type,original_cost_crore,latest_revised_cost_crore,cumulative_expenditure_crore,planned_duration_months,elapsed_duration_months,schedule_consumption_pct,expected_physical_progress_pct,physical_progress_pct,financial_progress_pct,progress_gap_pct,financial_physical_gap_pct,milestones_total,milestones_expected_to_date,milestones_delayed,milestone_delay_rate_pct,land_acquisition_delay,clearance_delay,contractor_delay,funding_issue,expenditure_ratio_pct,observable_risk_score,final_cost_overrun_pct,final_time_overrun_pct,final_cost_overrun_flag,final_time_overrun_flag,final_major_risk_flag,final_revised_cost_crore,final_actual_duration_months,dataset_split,cost_risk_probability,time_risk_probability,overall_risk_score,risk_level,risk_change,risk_change_3m,early_warning
PAI-00002,Demo Infrastructure Project 0002,2025-03,3,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,549.0,128.8,60,15,25.0,27.3,24.46,30.43,2.83,5.96,13,3,1.0,33.33,0.0,0.0,0.0,0.0,23.46,15.4,21.84,36.4,1,1,1,642.3,82,test,52.989555,85.37539,69.18247,MEDIUM,14.181221,,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-04,4,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,557.99,164.43,60,20,33.33,31.72,25.57,33.92,6.15,8.34,13,4,1.0,25.0,0.0,0.0,0.0,0.0,29.47,21.21,21.84,36.4,1,1,1,642.3,82,test,53.944736,82.30908,68.12691,MEDIUM,-1.0555649,1.7140198,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-05,5,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,567.45,222.76,60,25,41.67,40.57,42.07,43.54,-1.5,1.47,13,5,1.0,20.0,0.0,0.0,1.0,0.0,39.26,19.46,21.84,36.4,1,1,1,642.3,82,test,30.490604,76.10206,53.296333,MEDIUM,-14.830574,-1.7049179,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-06,6,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,577.3,263.49,60,30,50.0,52.4,45.66,51.26,6.75,5.6,13,6,2.0,33.33,1.0,0.0,0.0,1.0,45.64,30.49,21.84,36.4,1,1,1,642.3,82,test,65.71422,88.93505,77.32463,HIGH,24.028297,8.1421585,HIGH ALERT
PAI-00002,Demo Infrastructure Project 0002,2025-07,7,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,587.48,290.7,60,35,58.33,61.39,58.15,63.06,3.24,4.91,13,7,2.0,28.57,0.0,0.0,0.0,0.0,49.48,19.64,21.84,36.4,1,1,1,642.3,82,test,57.311684,80.92666,69.11917,MEDIUM,-8.20546,0.9922638,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-08,8,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,597.96,333.2,60,40,66.67,59.62,55.49,63.51,4.14,8.03,13,8,2.0,25.0,0.0,0.0,0.0,0.0,55.72,24.78,21.84,36.4,1,1,1,642.3,82,test,51.936237,81.21644,66.57634,MEDIUM,-2.5428314,13.280006,WATCH
PAI-00002,Demo Infrastructure Project 0002,2025-09,9,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,608.7,349.98,60,45,75.0,77.4,66.51,72.79,10.89,6.28,13,9,,33.33,0.0,0.0,0.0,1.0,57.5,22.63,21.84,36.4,1,1,1,642.3,82,test,87.691895,91.34615,89.51903,HIGH,22.942688,12.194397,CRITICAL
PAI-00002,Demo Infrastructure Project 0002,2025-10,10,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,619.68,405.17,60,50,83.33,78.68,69.45,79.69,9.23,10.24,13,10,3.0,30.0,1.0,1.0,0.0,0.0,65.38,41.0,21.84,36.4,1,1,1,642.3,82,test,88.581535,90.03096,89.306244,HIGH,-0.21278381,20.187073,CRITICAL
PAI-00002,Demo Infrastructure Project 0002,2025-11,11,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,630.89,416.84,60,55,91.67,91.54,88.93,96.45,2.61,7.52,13,11,3.0,27.27,0.0,,0.0,0.0,66.07,21.55,21.84,36.4,1,1,1,642.3,82,test,93.697235,81.36974,87.533485,HIGH,-1.7727585,20.957146,CRITICAL
PAI-00002,Demo Infrastructure Project 0002,2025-12,12,Ministry of Power,Water & Sanitation,Madhya Pradesh,State-linked Implementing Agency,527.19,642.3,499.99,60,60,100.0,97.23,88.81,97.71,8.42,8.9,13,13,5.0,38.46,0.0,0.0,0.0,0.0,77.84,30.23,21.84,36.4,1,1,1,642.3,82,test,97.02937,90.67443,93.8519,HIGH,6.318413,4.3328705,CRITICAL
PAI-00003,Demo Infrastructure Project 0003,2025-01,1,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,14.45,26,2,7.69,9.24,9.47,2.46,-0.23,-7.01,17,1,0.0,0.0,0.0,0.0,0.0,0.0,3.72,3.49,-8.57,3.42,0,0,0,388.17,27,test,28.278711,62.191223,45.234966,MEDIUM,,,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-02,2,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,61.82,26,4,15.38,19.56,20.03,25.75,-0.47,5.72,17,2,0.0,0.0,0.0,0.0,0.0,0.0,15.93,7.5,-8.57,3.42,0,0,0,388.17,27,test,28.52852,68.33437,48.43145,MEDIUM,3.1964836,,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-03,3,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,84.57,26,6,23.08,24.97,24.82,30.51,0.15,5.69,17,4,0.0,0.0,0.0,0.0,0.0,0.0,21.79,7.26,-8.57,3.42,0,0,0,388.17,27,test,28.49454,60.013874,44.254208,MEDIUM,-4.1772423,,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-04,4,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,118.65,26,9,34.62,35.09,39.12,40.6,-4.03,1.48,17,5,0.0,0.0,0.0,0.0,1.0,0.0,30.57,10.34,-8.57,3.42,0,0,0,388.17,27,test,26.831774,58.5078,42.669785,MEDIUM,-1.5844231,-2.5651817,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-05,5,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,143.78,26,11,42.31,40.83,40.72,41.41,0.11,0.69,17,7,1.0,14.29,1.0,0.0,0.0,0.0,37.04,12.62,-8.57,3.42,0,0,0,388.17,27,test,36.63369,66.42662,51.53016,MEDIUM,8.860374,3.098709,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-06,6,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,176.97,26,13,50.0,54.11,53.84,51.85,0.26,-1.99,17,8,0.0,0.0,0.0,0.0,0.0,0.0,45.59,4.41,-8.57,3.42,0,0,0,388.17,27,test,19.580055,55.142654,37.361355,LOW,-14.168804,-6.892853,NORMAL
PAI-00003,Demo Infrastructure Project 0003,2025-07,7,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,181.66,26,15,57.69,55.18,52.87,47.63,2.31,-5.24,17,9,1.0,11.11,0.0,0.0,0.0,0.0,46.8,5.27,-8.57,3.42,0,0,0,388.17,27,test,36.76968,64.03896,50.404324,MEDIUM,13.042969,7.734539,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-08,8,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,237.3,26,17,65.38,66.46,61.26,67.19,5.2,5.92,17,11,3.0,27.27,0.0,0.0,0.0,0.0,61.13,27.7,-8.57,3.42,0,0,0,388.17,27,test,18.655548,75.96648,47.311012,MEDIUM,-3.0933113,-4.2191467,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-09,9,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,246.99,26,20,76.92,76.5,73.92,79.5,2.59,5.59,17,12,3.0,25.0,0.0,0.0,1.0,0.0,63.63,26.78,-8.57,3.42,0,0,0,388.17,27,test,46.528107,72.534874,59.53149,MEDIUM,12.220478,22.170135,RISING RISK
PAI-00003,Demo Infrastructure Project 0003,2025-10,10,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,278.29,26,22,84.62,83.27,79.41,81.54,3.86,2.13,17,14,1.0,7.14,0.0,0.0,0.0,0.0,71.69,15.29,-8.57,3.42,0,0,0,388.17,27,test,13.2719965,58.002598,35.637295,LOW,-23.894196,-14.767029,NORMAL
PAI-00003,Demo Infrastructure Project 0003,2025-11,11,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,290.04,26,24,92.31,94.42,87.67,93.03,6.75,5.37,17,15,2.0,13.33,0.0,0.0,0.0,0.0,74.72,18.05,-8.57,3.42,0,0,0,388.17,27,test,55.346783,60.328293,57.837532,MEDIUM,22.200237,10.52652,WATCH
PAI-00003,Demo Infrastructure Project 0003,2025-12,12,Ministry of Communications,Steel,Maharashtra,PSU,388.17,388.17,333.63,26,26,100.0,95.85,88.92,95.54,6.94,6.62,17,17,1.0,5.88,0.0,0.0,0.0,0.0,85.95,22.84,-8.57,3.42,0,0,0,388.17,27,test,4.579969,52.094345,28.337156,LOW,-29.500376,-31.194334,NORMAL
PAI-00011,Demo Infrastructure Project 0011,2025-01,1,Ministry of Coal,Energy,Odisha,PSU,968.06,971.34,71.27,91,8,8.79,10.59,10.45,17.24,0.14,6.79,19,1,0.0,0.0,0.0,0.0,0.0,1.0,7.34,5.91,6.68,16.75,0,1,1,1032.72,107,test,57.448895,75.044975,66.24694,MEDIUM,,,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-02,2,Ministry of Coal,Energy,Odisha,PSU,968.06,975.59,210.2,91,15,16.48,14.52,11.94,19.92,2.57,7.98,19,3,1.0,33.33,0.0,0.0,1.0,0.0,21.55,30.0,6.68,16.75,0,1,1,1032.72,107,test,71.08215,87.225716,79.15393,HIGH,12.90699,,HIGH ALERT
PAI-00011,Demo Infrastructure Project 0011,2025-03,3,Ministry of Coal,Energy,Odisha,PSU,968.06,980.31,229.75,91,23,25.27,28.31,27.45,34.41,0.86,6.96,19,4,1.0,25.0,0.0,1.0,1.0,0.0,23.44,31.77,6.68,16.75,0,1,1,1032.72,107,test,59.55673,75.386734,67.47173,MEDIUM,-11.682198,,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-04,4,Ministry of Coal,Energy,Odisha,PSU,968.06,985.36,307.28,91,30,32.97,31.26,20.22,32.31,11.04,12.09,19,6,1.0,16.67,0.0,1.0,0.0,0.0,31.18,30.31,6.68,16.75,0,1,1,1032.72,107,test,70.61942,78.184975,74.4022,HIGH,6.9304657,8.155258,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-05,5,Ministry of Coal,Energy,Odisha,PSU,968.06,990.67,404.22,91,38,41.76,42.31,43.75,44.79,-1.43,1.05,19,7,2.0,28.57,0.0,0.0,0.0,0.0,40.8,12.59,6.68,16.75,0,1,1,1032.72,107,test,46.87904,73.162575,60.020805,MEDIUM,-14.381393,-19.133125,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-06,6,Ministry of Coal,Energy,Odisha,PSU,968.06,996.2,440.51,91,46,50.55,55.54,47.66,50.99,7.88,3.33,19,9,3.0,33.33,0.0,0.0,1.0,0.0,44.22,31.32,6.68,16.75,0,1,1,1032.72,107,test,75.79274,84.67013,80.23144,HIGH,20.210632,12.759705,HIGH ALERT
PAI-00011,Demo Infrastructure Project 0011,2025-07,7,Ministry of Coal,Energy,Odisha,PSU,968.06,1001.92,502.33,91,53,58.24,56.57,59.6,69.01,-3.03,9.41,19,11,4.0,36.36,0.0,0.0,0.0,0.0,50.14,29.23,6.68,16.75,0,1,1,1032.72,107,test,74.70782,86.262665,80.48524,HIGH,0.25379944,6.0830383,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-08,8,Ministry of Coal,Energy,Odisha,PSU,968.06,1007.81,630.1,91,61,67.03,69.36,73.51,83.71,-4.15,10.2,19,12,3.0,25.0,0.0,1.0,0.0,0.0,62.52,30.17,6.68,16.75,0,1,1,1032.72,107,test,28.298267,77.4801,52.889187,MEDIUM,-27.59605,-7.1316185,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-09,9,Ministry of Coal,Energy,Odisha,PSU,968.06,1013.84,649.01,91,68,74.73,76.93,71.44,82.81,5.5,11.37,19,14,3.0,21.43,0.0,0.0,1.0,0.0,64.01,32.74,6.68,16.75,0,1,1,1032.72,107,test,66.358475,78.372185,72.36533,HIGH,19.476147,-7.866104,HIGH ALERT
PAI-00011,Demo Infrastructure Project 0011,2025-10,10,Ministry of Coal,Energy,Odisha,PSU,968.06,1020.01,752.59,91,76,83.52,82.27,73.87,,8.4,5.71,19,15,5.0,33.33,0.0,0.0,0.0,0.0,73.78,27.68,6.68,16.75,0,1,1,1032.72,107,test,41.508682,86.006996,63.757835,MEDIUM,-8.607498,-16.727402,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-11,11,Ministry of Coal,Energy,Odisha,PSU,968.06,1026.31,818.88,91,83,91.21,95.85,84.31,88.3,11.54,4.0,19,17,5.0,29.41,0.0,0.0,0.0,0.0,79.79,29.44,6.68,16.75,0,1,1,1032.72,107,test,49.217674,78.90122,64.05945,MEDIUM,0.30161285,11.170261,WATCH
PAI-00011,Demo Infrastructure Project 0011,2025-12,12,Ministry of Coal,Energy,Odisha,PSU,968.06,1032.72,844.45,91,91,100.0,98.18,85.37,94.17,12.81,8.8,19,19,6.0,31.58,0.0,0.0,1.0,1.0,81.77,42.54,6.68,16.75,0,1,1,1032.72,107,test,88.77344,84.60247,86.68796,HIGH,22.62851,14.322624,CRITICAL
PAI-00012,Demo Infrastructure Project 0012,2025-01,1,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2239.77,244.26,48,4,8.33,7.7,4.6,12.45,3.1,7.84,29,2,0.0,0.0,0.0,0.0,0.0,0.0,10.91,9.01,8.65,25.36,0,1,1,2422.86,61,test,49.482994,72.82648,61.154736,MEDIUM,,,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-02,2,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2252.46,429.87,48,8,16.67,15.61,20.97,27.71,-5.37,6.74,29,4,1.0,25.0,0.0,,1.0,0.0,19.08,23.87,8.65,25.36,0,1,1,2422.86,61,test,60.43431,74.6782,67.55626,MEDIUM,6.4015236,,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-03,3,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2266.54,544.12,48,12,25.0,25.07,26.66,35.03,-1.59,8.37,29,7,1.0,14.29,0.0,1.0,0.0,0.0,24.01,21.38,8.65,25.36,0,1,1,2422.86,61,test,53.43683,67.94179,60.68931,MEDIUM,-6.866951,,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-04,4,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2281.6,769.87,48,16,33.33,33.1,36.15,43.28,-3.04,7.13,29,9,2.0,22.22,0.0,0.0,0.0,0.0,33.74,16.66,8.65,25.36,0,1,1,2422.86,61,test,58.654613,70.97082,64.81271,MEDIUM,4.1234055,3.657978,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-05,5,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2297.45,912.78,48,20,41.67,43.97,37.29,46.76,6.68,9.47,29,12,2.0,16.67,0.0,0.0,0.0,0.0,39.73,26.72,8.65,25.36,0,1,1,2422.86,61,test,55.08272,69.40369,62.2432,MEDIUM,-2.5695152,-5.3130608,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-06,6,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2313.94,988.6,48,24,50.0,48.48,43.4,51.42,5.08,8.03,29,14,4.0,28.57,1.0,0.0,0.0,0.0,42.72,24.25,8.65,25.36,0,1,1,2422.86,61,test,73.85108,72.83768,73.344376,HIGH,11.101177,12.655067,HIGH ALERT
PAI-00012,Demo Infrastructure Project 0012,2025-07,7,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2331.0,1177.48,48,28,58.33,55.0,50.62,53.63,4.37,3.01,29,16,4.0,25.0,0.0,0.0,0.0,0.0,50.51,18.36,8.65,25.36,0,1,1,2422.86,61,test,63.06947,63.977615,63.523544,MEDIUM,-9.820831,-1.2891693,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-08,8,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2348.56,1313.96,48,32,66.67,65.68,63.56,70.58,2.12,7.02,29,19,5.0,26.32,1.0,0.0,0.0,0.0,55.95,23.07,8.65,25.36,0,1,1,2422.86,61,test,77.36557,68.84252,73.10405,HIGH,9.580505,10.860851,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-09,9,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2366.56,1465.04,48,36,75.0,73.77,70.63,76.93,3.15,6.3,29,21,5.0,23.81,0.0,0.0,1.0,0.0,61.91,27.56,8.65,25.36,0,1,1,2422.86,61,test,77.496544,63.990383,70.74347,HIGH,-2.3605804,-2.6009064,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-10,10,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2384.96,1838.5,48,40,83.33,86.28,83.63,,2.65,4.3,29,24,,12.5,0.0,0.0,0.0,0.0,77.09,14.02,8.65,25.36,0,1,1,2422.86,61,test,8.287536,54.185062,31.2363,LOW,-39.50717,-32.287247,NORMAL
PAI-00012,Demo Infrastructure Project 0012,2025-11,11,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2403.74,1946.0,48,44,91.67,93.36,85.43,90.42,7.93,5.0,29,26,6.0,23.08,0.0,0.0,0.0,0.0,80.96,27.34,8.65,25.36,0,1,1,2422.86,61,test,21.901741,65.992294,43.947018,MEDIUM,12.710718,-29.157032,WATCH
PAI-00012,Demo Infrastructure Project 0012,2025-12,12,"Ministry of Ports, Shipping & Waterways",Mining,Rajasthan,Central Government Department,2230.0,2422.86,2081.32,48,48,100.0,100.0,92.93,100.0,7.07,7.07,29,29,8.0,27.59,1.0,0.0,0.0,0.0,85.9,36.55,8.65,25.36,0,1,1,2422.86,61,test,44.169403,68.21101,56.190205,MEDIUM,12.243187,-14.553265,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-01,1,Ministry of Steel,Coal,West Bengal,PSU,535.95,539.19,34.37,55,5,9.09,7.59,7.49,21.57,0.1,14.08,28,2,1.0,50.0,1.0,0.0,0.0,0.0,6.37,30.23,11.91,16.59,1,1,1,599.76,65,test,67.569885,81.755035,74.66246,HIGH,,,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-02,2,Ministry of Steel,Coal,West Bengal,PSU,535.95,543.39,100.91,55,9,16.36,18.56,16.34,19.53,2.22,3.19,28,4,1.0,25.0,1.0,0.0,0.0,0.0,18.57,12.62,11.91,16.59,1,1,1,599.76,65,test,50.2443,51.59339,50.918846,MEDIUM,-23.743614,,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-03,3,Ministry of Steel,Coal,West Bengal,PSU,535.95,548.04,139.26,55,14,25.45,25.5,20.28,23.29,5.22,3.01,28,7,2.0,28.57,0.0,,1.0,0.0,25.41,18.14,11.91,16.59,1,1,1,599.76,65,test,53.37833,65.291725,59.33503,MEDIUM,8.416183,,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-04,4,Ministry of Steel,Coal,West Bengal,PSU,535.95,553.03,177.83,55,18,32.73,30.54,32.19,40.79,-1.64,8.6,28,9,3.0,33.33,1.0,0.0,1.0,0.0,32.16,30.46,11.91,16.59,1,1,1,599.76,65,test,65.7828,77.9171,71.849945,HIGH,12.514915,-2.8125153,HIGH ALERT
PAI-00014,Demo Infrastructure Project 0014,2025-05,5,Ministry of Steel,Coal,West Bengal,PSU,535.95,558.27,241.68,55,23,41.82,41.4,37.28,45.35,4.12,8.07,28,11,4.0,36.36,0.0,0.0,1.0,0.0,43.29,29.76,11.91,16.59,1,1,1,599.76,65,test,61.15563,84.0366,72.596115,HIGH,0.74617004,21.677269,RISING RISK
PAI-00014,Demo Infrastructure Project 0014,2025-06,6,Ministry of Steel,Coal,West Bengal,PSU,535.95,563.73,279.28,55,28,50.91,50.76,46.82,55.61,3.93,8.79,28,14,3.0,21.43,0.0,0.0,0.0,0.0,49.54,18.64,11.91,16.59,1,1,1,599.76,65,test,38.360252,61.88899,50.124622,MEDIUM,-22.471493,-9.210407,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-07,7,Ministry of Steel,Coal,West Bengal,PSU,535.95,569.37,311.94,55,32,58.18,59.75,54.88,63.31,4.87,8.43,28,16,5.0,31.25,,1.0,0.0,0.0,54.79,31.48,11.91,16.59,1,1,1,599.76,65,test,49.965107,80.0323,64.9987,MEDIUM,14.874081,-6.851242,WATCH
PAI-00014,Demo Infrastructure Project 0014,2025-08,8,Ministry of Steel,Coal,West Bengal,PSU,535.95,575.18,352.08,55,37,67.27,63.09,58.48,64.91,4.61,6.42,28,18,6.0,33.33,0.0,0.0,0.0,0.0,61.21,25.66,11.91,16.59,1,1,1,599.76,65,test,32.11299,73.161224,52.637108,MEDIUM,-12.361595,-19.959007,WATCH
